Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
01/31/23,"998,60",,"23,29","2,39","2.485,91","181,03",,"998,60","998,60"
12/30/22,"975,31",,"-23,39","-2,34","2.420,63","173,65",,"975,31","975,31"
11/30/22,"998,70",,"42,75","4,47","2.472,12","179,47",,"998,70","998,70"
10/31/22,"955,95",,"43,81","4,80","2.358,46","166,62",,"955,95","955,95"
09/30/22,"912,14",,"-102,21","-10,08","2.244,30","153,72",,"912,14","912,14"
08/31/22,"1.014,35",,"-24,19","-2,33","2.488,32","181,30",,"1.014,35","1.014,35"
07/29/22,"1.038,54",,"27,53","2,72","2.540,88","187,24",,"1.038,54","1.038,54"
06/30/22,"1.011,01",,"-59,95","-5,60","2.464,65","178,63",,"1.011,01","1.011,01"
05/31/22,"1.070,97",,"37,53","3,63","2.601,84","194,14",,"1.070,97","1.070,97"
04/29/22,"1.033,43",,"-16,63","-1,58","2.502,11","182,86",,"1.033,43","1.033,43"
03/31/22,"1.050,06",,"38,48","3,80","2.531,56","186,19",,"1.050,06","1.050,06"
02/28/22,"1.011,59",,"-0,13","-0,01","2.431,21","174,85",,"1.011,59","1.011,59"
01/31/22,"1.011,72",,"-4,96","-0,49","2.426,40","174,30",,"1.011,72","1.011,72"
12/31/21,"1.016,68",,"51,04","5,29","2.430,21","174,73",,"1.016,68","1.016,68"
11/30/21,"965,64",,"-27,24","-2,74","2.302,16","160,26",,"965,64","965,64"
10/29/21,"992,88",,"12,88","1,31","2.360,55","166,86",,"992,88","992,88"
09/30/21,"980,00",,"-37,16","-3,65","2.323,36","162,65",,"980,00","980,00"
08/31/21,"1.017,16",,"14,23","1,42","2.404,60","171,84",,"1.017,16","1.017,16"
07/30/21,"1.002,93",,"9,32","0,94","2.365,54","167,42",,"1.002,93","1.002,93"
06/30/21,"993,61",,"-15,66","-1,55","2.334,65","163,93",,"993,61","993,61"
05/28/21,"1.009,27",,"-9,79","-0,96","2.362,24","167,05",,"1.009,27","1.009,27"
04/30/21,"1.019,06",,"20,73","2,08","2.377,09","168,73",,"1.019,06","1.019,06"
03/31/21,"998,33",,"67,23","7,22","2.318,34","162,09",,"998,33","998,33"
02/26/21,"931,10",,"-19,14","-2,01","2.155,13","143,64",,"931,10","931,10"
