Symbol;Name;Stock Exchange;Sec Type;Date of first trade ;Date (RT Last);Avg Daily Price (LOCAL);Curncy Iso;Market Value in millions ;FR RBICS Name Sector;ISIN;Average Daily Volume;Trading Value Local;Trading Value EUR;Filter
B1XH4H;Bm Impex Npv;OMX NORDIC STOCKHOLM;SHARE;15-12-2008;29-11-2010;0,2;SEK;;Industrial Services;SE0001747411;231.843,0;49405,7433;4372,189673;FJERN
B1XH5G;C-Rad AB Class B;OMX NORDIC STOCKHOLM;SHARE;23-07-2007;13-05-2026;26,3;SEK;1.078,9;Healthcare Equipment;SE0002016352;57.266,5;1506963,583;133359,6091;BEHOLD
B1XH7Y;Access Stratego A/S;OMX NORDIC COPENHAGEN;SHARE;19-06-2007;13-09-2013;76,5;DKK;;Financially Operative Institutions;DK0060084614;457,6;35015,22039;4700,029583;FJERN
B1XJG1;BI Private Equity;OMX NORDIC COPENHAGEN;SHARE;18-05-2007;14-12-2018;27,9;DKK;;Financially Operative Institutions;DK0060079614;1.692,7;47199,12209;6335,452629;FJERN
B1XQN5;Athena IT-Group A/S;OMX NORDIC COPENHAGEN;SHARE;29-05-2007;30-12-2015;8,6;DKK;;Software and Consulting;DK0060084374;1.783,1;15335,8745;2058,506644;FJERN
B1Y481;Brostrom B;OMX NORDIC STOCKHOLM;SHARE;01-10-1998;27-02-2009;56,7;SEK;;Industrial Services;SE0000254880;6.634,7;376350,0796;33305,31678;FJERN
B1Y98G;Nordic Shipholding A/S;OMX NORDIC COPENHAGEN;SHARE;12-06-2007;27-12-2023;2,9;DKK;;Industrial Services;DK0060083996;79.642,3;228355,9202;30651,80137;FJERN
B1Y999;Boliga Gruppen A/S;OMX NORDIC COPENHAGEN;SHARE;14-06-2007;19-11-2021;10,9;DKK;;Software and Consulting;DK0060074656;4.768,2;51816,40731;6955,222457;FJERN
B1Y9QT;Aerocrine AB Class B;OMX NORDIC STOCKHOLM;SHARE;15-06-2007;13-07-2015;3,6;SEK;;Healthcare Equipment;SE0000434292;1.110.611,0;3954271,603;349935,5401;BEHOLD
B1YBJ7;Resurs Bemanning Ser'B'Npv;OMX NORDIC STOCKHOLM;SHARE;07-06-2007;04-05-2012;2,8;SEK;;Business Services;SE0002027946;9.970,1;27706,7894;2451,928266;FJERN
B1YCC6;XRF Analytical AB Class B;OMX NORDIC STOCKHOLM;SHARE;11-06-2007;29-03-2011;6,7;SEK;;Software and Consulting;SE0001910266;2.772,3;18520,0184;1638,939681;FJERN
B1YCCD;Devicom Ab Npv;OMX NORDIC STOCKHOLM;SHARE;29-06-2007;28-04-2011;1,6;SEK;;Telecommunications;SE0002061267;1.149,6;1828,638081;161,8263789;FJERN
