Price History: MS129867,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
04/12/07,"909,83",,"-2,59","-0,28","1.149,60","29,96",,"909,83","909,83"
04/13/07,"911,00",,"1,18","0,13","1.151,08","30,13",,"911,00","911,00"
04/16/07,"918,21",,"7,21","0,79","1.160,23","31,16",,"918,21","918,21"
04/17/07,"919,25",,"1,05","0,11","1.161,71","31,33",,"919,25","919,25"
04/18/07,"916,05",,"-3,20","-0,35","1.157,84","30,89",,"916,05","916,05"
04/19/07,"913,07",,"-2,98","-0,33","1.155,49","30,63",,"913,07","913,07"
04/20/07,"921,24",,"8,17","0,89","1.165,83","31,80",,"921,24","921,24"
04/23/07,"918,38",,"-2,85","-0,31","1.163,66","31,55",,"918,38","918,38"
04/24/07,"916,47",,"-1,91","-0,21","1.161,29","31,28",,"916,47","916,47"
04/25/07,"919,13",,"2,65","0,29","1.165,15","31,72",,"919,13","919,13"
04/26/07,"920,17",,"1,04","0,11","1.166,56","31,88",,"920,17","920,17"
04/27/07,"914,43",,"-5,74","-0,62","1.159,46","31,08",,"914,43","914,43"
04/30/07,"914,15",,"-0,29","-0,03","1.159,35","31,06",,"914,15","914,15"
05/01/07,"915,63",,"1,48","0,16","1.161,23","31,28",,"915,63","915,63"
05/02/07,"921,56",,"5,93","0,65","1.168,78","32,13",,"921,56","921,56"
05/03/07,"924,17",,"2,61","0,28","1.172,44","32,54",,"924,17","924,17"
05/04/07,"926,26",,"2,09","0,23","1.177,57","33,12",,"926,26","926,26"
05/07/07,"930,50",,"4,24","0,46","1.183,70","33,82",,"930,50","930,50"
05/08/07,"924,37",,"-6,13","-0,66","1.176,06","32,95",,"924,37","924,37"
05/09/07,"924,25",,"-0,11","-0,01","1.176,14","32,96",,"924,25","924,25"
05/10/07,"916,70",,"-7,55","-0,82","1.166,59","31,88",,"916,70","916,70"
05/11/07,"923,07",,"6,37","0,69","1.174,86","32,82",,"923,07","923,07"
05/14/07,"926,08",,"3,02","0,33","1.178,80","33,26",,"926,08","926,08"
05/15/07,"929,13",,"3,05","0,33","1.183,08","33,75",,"929,13","929,13"
05/16/07,"932,74",,"3,60","0,39","1.187,82","34,28",,"932,74","932,74"
05/17/07,"930,68",,"-2,05","-0,22","1.186,01","34,08",,"930,68","930,68"
05/18/07,"935,25",,"4,57","0,49","1.191,83","34,74",,"935,25","935,25"
05/21/07,"937,17",,"1,92","0,21","1.194,45","35,03",,"937,17","937,17"
05/22/07,"936,96",,"-0,21","-0,02","1.194,19","35,00",,"936,96","936,96"
05/23/07,"943,25",,"6,29","0,67","1.202,24","35,91",,"943,25","943,25"
05/24/07,"936,08",,"-7,17","-0,76","1.193,10","34,88",,"936,08","936,08"
05/25/07,"934,76",,"-1,32","-0,14","1.191,45","34,69",,"934,76","934,76"
05/29/07,"941,88",,"7,11","0,76","1.200,57","35,72",,"941,88","941,88"
05/30/07,"947,87",,"6,00","0,64","1.208,46","36,62",,"947,87","947,87"
05/31/07,"953,51",,"5,64","0,59","1.215,65","37,43",,"953,51","953,51"
06/01/07,"956,84",,"3,33","0,35","1.219,93","37,91",,"956,84","956,84"
06/04/07,"953,35",,"-3,49","-0,36","1.215,72","37,44",,"953,35","953,35"
06/05/07,"946,01",,"-7,34","-0,77","1.206,35","36,38",,"946,01","946,01"
06/06/07,"932,24",,"-13,77","-1,46","1.191,69","34,72",,"932,24","932,24"
06/07/07,"916,92",,"-15,33","-1,64","1.173,37","32,65",,"916,92","916,92"
06/08/07,"920,10",,"3,18","0,35","1.177,44","33,11",,"920,10","920,10"
06/11/07,"922,62",,"2,52","0,27","1.180,67","33,47",,"922,62","922,62"
06/12/07,"913,15",,"-9,47","-1,03","1.168,64","32,11",,"913,15","913,15"
06/13/07,"920,37",,"7,22","0,79","1.178,09","33,18",,"920,37","920,37"
06/14/07,"930,29",,"9,92","1,08","1.190,84","34,62",,"930,29","930,29"
06/15/07,"937,83",,"7,54","0,81","1.200,49","35,72",,"937,83","937,83"
06/18/07,"933,40",,"-4,43","-0,47","1.195,68","35,17",,"933,40","933,40"
06/19/07,"930,88",,"-2,52","-0,27","1.192,48","34,81",,"930,88","930,88"
06/20/07,"923,73",,"-7,15","-0,77","1.183,32","33,77",,"923,73","923,73"
06/21/07,"921,60",,"-2,13","-0,23","1.180,59","33,46",,"921,60","921,60"
06/22/07,"912,74",,"-8,86","-0,96","1.169,24","32,18",,"912,74","912,74"
06/25/07,"913,57",,"0,83","0,09","1.170,44","32,32",,"913,57","913,57"
06/26/07,"912,33",,"-1,23","-0,14","1.169,00","32,16",,"912,33","912,33"
06/27/07,"916,91",,"4,57","0,50","1.175,31","32,87",,"916,91","916,91"
06/28/07,"922,21",,"5,30","0,58","1.182,16","33,64",,"922,21","922,21"
06/29/07,"927,88",,"5,67","0,62","1.189,58","34,48",,"927,88","927,88"
07/02/07,"930,24",,"2,36","0,25","1.193,45","34,92",,"930,24","930,24"
07/03/07,"933,55",,"3,31","0,36","1.197,70","35,40",,"933,55","933,55"
07/05/07,"928,99",,"-4,56","-0,49","1.191,86","34,74",,"928,99","928,99"
07/06/07,"929,23",,"0,24","0,03","1.193,75","34,95",,"929,23","929,23"
07/09/07,"930,87",,"1,64","0,18","1.195,90","35,20",,"930,87","930,87"
07/10/07,"917,98",,"-12,89","-1,38","1.179,34","33,32",,"917,98","917,98"
07/11/07,"917,80",,"-0,18","-0,02","1.179,10","33,30",,"917,80","917,80"
07/12/07,"928,88",,"11,09","1,21","1.193,34","34,91",,"928,88","928,88"
07/13/07,"934,00",,"5,12","0,55","1.199,92","35,65",,"934,00","934,00"
07/16/07,"932,97",,"-1,03","-0,11","1.198,60","35,50",,"932,97","932,97"
07/17/07,"931,22",,"-1,75","-0,19","1.196,35","35,25",,"931,22","931,22"
07/18/07,"926,50",,"-4,72","-0,51","1.190,28","34,56",,"926,50","926,50"
07/19/07,"934,41",,"7,91","0,85","1.200,46","35,71",,"934,41","934,41"
07/20/07,"925,62",,"-8,79","-0,94","1.189,17","34,44",,"925,62","925,62"
07/23/07,"929,53",,"3,91","0,42","1.194,19","35,00",,"929,53","929,53"
07/24/07,"915,29",,"-14,23","-1,53","1.175,91","32,94",,"915,29","915,29"
07/25/07,"914,52",,"-0,77","-0,08","1.174,92","32,82",,"914,52","914,52"
07/26/07,"893,68",,"-20,84","-2,28","1.148,14","29,80",,"893,68","893,68"
07/27/07,"885,75",,"-7,93","-0,89","1.138,00","28,65",,"885,75","885,75"
07/30/07,"885,26",,"-0,49","-0,06","1.137,39","28,58",,"885,26","885,26"
07/31/07,"889,94",,"4,68","0,53","1.143,40","29,26",,"889,94","889,94"
08/01/07,"890,83",,"0,90","0,10","1.144,76","29,41",,"890,83","890,83"
08/02/07,"902,67",,"11,84","1,33","1.160,11","31,15",,"902,67","902,67"
08/03/07,"887,35",,"-15,33","-1,70","1.140,49","28,93",,"887,35","887,35"
08/06/07,"892,52",,"5,17","0,58","1.147,14","29,68",,"892,52","892,52"
08/07/07,"901,34",,"8,82","0,99","1.158,48","30,97",,"901,34","901,34"
