Måned;KBHL.CO;BO.CO;CARL-B.CO;MAERSK-B.CO;ALMB.CO;HH.CO;GN.CO;DANSKE.CO;GMAB.CO;BIOPOR.CO;SOLAR-B.CO;FLS.CO;BAVA.CO;SCHO.CO;RTX.CO;NKT.CO;JYSK.CO;ZEAL.CO;CBRAIN.CO;CHEMM.CO;DNORD.CO;DSV.CO;EMBLA.CO;PNDORA.CO;NSIS-B.CO;COLO-B.CO;MATAS.CO;AMBU-B.CO;RILBA.CO;TCM.CO;NETC.CO;SPG.CO;NTG.CO;PEG.CO;ISS.CO;TRIFOR.CO;AOJ-B.CO;HUSCO.CO;OKEAC.CO;JDAN.CO;HLUN-B.CO;GUBRA.CO;UIE.CO;VWS.CO;ALK-B.CO;NOVO-B.CO;ROCK-B.CO;STRAP.CO;NNIT.CO;RBREW.CO;TRYG.CO;PAAL-B.CO;DFDS.CO;ORSTED.CO;SJF.CO;STG.CO;DEMANT.CO;NLFSK.CO;TRMD-A.CO
2010-09-30 00:00:00;0,094195441;0,247311736;0,029810406;0,032768503;-0,173913081;0,034146401;0,113756596;0,009181173;0,106918181;0,294117762;0,152755892;0,151008858;-0,081775735;0,0083335;0,181818235;0,217469609;0,101808924;;0;0,007999979;-0,023025169;0,198710981;;0;0,007971135;0,045599715;;0,011194185;0,105169417;;;0,151260757;-0,078212291;;;;0;;0,028673786;-0,011933239;;;0,01598165;-0,060218983;0,133443205;0,076388675;0,186879059;;;0,192052772;0,043492222;0,058974391;0,030812121;;;;0,012042136;;-0,016417035
2010-10-31 00:00:00;0,021232925;0;0,028070231;0,017505385;-0,117894915;0,533018816;0,061757832;0,080363954;0,154220783;0,121212178;-0,036885428;-0,008512739;0,11195932;-0,053719138;0,030769304;0,066568107;0,125703476;;-0,050000208;0,095238116;-0,038816815;-0,016128789;;-0,011406791;0,026599573;0,015302291;;0,022140217;0,120967707;;;-0,051094933;0,175757576;;;;-0,081632643;;0,157758177;-0,031401031;;;0,092134975;-0,169902932;-0,011628069;0,03963148;0,010887715;;;0,101851817;-0,178582549;0,052058098;0,050271908;;;;-0,004214229;;-0,009818283
2010-11-30 00:00:00;0,036216911;0,051724215;-0,07508534;-0,000215105;-0,105011697;-0,107692283;0,064876768;-0,000701751;-0,090014088;0,162162095;0,009929069;0,191919087;-0,061784931;-0,013100303;-0,156716501;-0,114424469;-0,024583261;;-0,166666399;-0,159420282;-0,129807622;0,0300545;;0,153846006;0,049719758;0,151469604;;0,133573955;0,007194343;;;0,353846288;-0,097938144;;;;0,088888878;;0,109965544;0,004987448;;;0,160493929;-0,04444439;-0,044117546;0,007092012;0,090306496;;;0,01344556;-0,082962783;-0,043728546;-0,021992222;;;;-0,004231969;;0,021318635
2010-12-31 00:00:00;0,148867512;-0,049180398;0,03044291;0,086470396;0,027152134;-0,08620693;0,068277355;0,004213462;0,012364808;-0,087209329;0,191011445;0,127118719;0,195122015;0,181416022;0;0,163664811;0,106364693;-0,146341463;-0,031579236;-0,034482765;0,118784678;0,090185657;;0,1200002;0,036691241;-0,007853132;;0,025477725;0,035714344;;;-0,039772822;-0,945714286;;;;0,053061148;;-0,998885449;0,012407129;;;0,063829681;4,388615823;-0,010769255;1,214788759;9,562308607;;;0,101160568;0,039983563;-0,001203341;0,105819926;;;;0,030000019;;-0,050485369
2011-01-31 00:00:00;-0,127323942;0,18965526;-0,028648217;0,048307221;-0,126760673;0,245283038;0,025565356;0,020979018;-0,035114492;0,171974682;0,029481228;-0,120676714;0,07346936;-0,063670483;0,141592978;0,066958289;-0,055984569;0;-0,078260867;0,062499938;-0,087901263;-0,077858961;;0,034226028;-0,030244537;0,057212195;;0,047526523;0,020689592;;;0,041420221;17,31578947;;;;-0,027131721;;926,7777503;0,078431145;;;0,031666527;-0,786825651;0,115085493;-0,512321204;-0,907625887;;;0,043675004;0,146408187;0,045783139;0,100478694;;;;0,058252371;;-0,003067565
2011-02-28 00:00:00;0,094254582;0,130434783;0,059907757;0,013219927;-0,129032213;-0,09090906;0,012464069;-0,130821964;-0,096519022;-0,076086914;0,063001258;0,015391047;-0,039923972;0,007999978;0;-0,032797307;-0,047034853;-0,042857143;0,018868251;-0,016806774;0,037899442;0,098504947;;-0,093525253;0,002654393;-0,03792675;;-0,111445675;-0,013513697;;;-0,034091;-0,017241379;;;;0,015936227;;-0,038922219;-0,027272679;;;0,0936994;-0,008524339;-0,064156251;0,109209745;-0,007788134;;;0,010100845;-0,047087043;0,034562372;-0,021739106;;;;0,051605506;;-0,058974349
2011-03-31 00:00:00;-0,037168358;-0,006410256;-0,01478257;-0,077539465;0,046296453;-0,008333374;-0,06420449;-0,00791381;-0,019264422;-0,058823695;-0,040948516;-0,056420865;-0,554455449;0,162698229;-0,046511738;0,005868882;0,005579598;0,037313433;-0,081018766;-0,025641057;-0,053208242;0,040032033;;-0,147619015;0,066181172;0,00131366;;0,125423592;-0,05770478;;;0,117647094;-0,333333333;;;;0,078431431;;-0,003115218;0,009345847;;;0,010340416;0,226222787;-0,055141564;-0,028655667;0,018053215;;;0,035714185;0,099893514;0,00217503;-0,008889127;;;;-0,00632491;;-0,176839274
2011-04-30 00:00:00;0,062617992;0,019354839;0,064913111;0,030511084;0;0,01680673;0,014892579;0,038626828;-0,028571401;-0,018750006;-0,008988714;0,012940573;0,031111125;0,020477994;0,056910667;0,017821479;0,068288412;0,007194245;0,002518975;-0,035087536;-0,006060593;0,01708815;;-0,15530702;0,091580085;-0,028871211;;-0,138554247;0,033973368;;;0,178947161;-0,070175439;;;;0,027272761;;0,079487965;-0,009259311;;;0,004385446;-0,216476886;-0,034700287;-0,022042452;0,026214665;;;0,026207009;0,039108109;0,006741623;-0,029147603;;;;0,030289667;;0,086726389
2011-05-31 00:00:00;0,004950462;-0,094936763;0,001672328;0,001212186;0,061946843;0;0,032032114;-0,099173741;-0,123161775;-0,127388511;-0,083183746;-0,05440528;-0,194081236;-0,029164228;0,007692202;0,10809941;-0,033160154;0,014285714;0,017587946;-0,03636354;0,11986452;-0,015197524;;-0,207819098;-0,00057489;0,031081521;;0,045454378;-0,04571414;;;-0,01785706;0;;;;0,132743406;;-0,0686567;0,027203366;;;-0,002910805;-0,126398167;0,069342408;0,020424047;-0,0309952;;;0,005287483;-0,01125162;0,049107238;0,051102002;;;;0,043885842;;-0,157782749
2011-06-30 00:00:00;0,000615667;-0,062937067;-0,06594321;-0,110665604;-0,05833328;0;-0,039379353;-0,126146753;-0,16142559;-0,029197051;-0,06075913;0,038048386;-0,08965518;-0,048951033;0,061068691;-0,043098388;-0,1607438;0,014084507;-0,004938309;-0,122641647;-0,041147791;-0,04861099;-0,063583535;-0,08181815;-0,037377822;0,023590539;;-0,083611985;-0,079341361;;;-0,054545402;-0,150943396;;;;-0,015625087;;-0,092948703;-0,012835429;;;-0,026277595;-0,234955202;-0,024844674;-0,006158409;-0,011801788;;;-0,060941806;-0,055096115;-0,051063764;-0,046980031;;;;-0,052653099;;-0,209041332
2011-07-31 00:00:00;0,076923175;-0,082089557;-0,088471916;-0,102344391;-0,0176994;-0,123966956;-0,050888509;0,055118042;0,005500031;0,067669311;-0,078167385;-0,077380996;0,037878786;-0,044117738;-0,028776896;-0,023432891;0,018709971;-0,055555556;-0,017369797;0,182795767;-0,033879198;-0,06569373;0,012345531;-0,080445402;0,011947352;0,021767536;;0,036496324;0,040650479;;;0,057692249;-0,064444444;;;;0,015873105;;0,137809101;-0,030732801;;;0,052121138;-0,041004117;-0,076433102;-0,016266577;-0,024681555;;;0,041298006;-0,044489131;0,021300468;-0,002347298;;;;-0,019819005;;-0,137174191
2011-08-31 00:00:00;-0,085714486;0,073170737;-0,237254735;-0,088899967;-0,234234266;-0,192452758;-0,226170302;-0,23582071;-0,076081583;-0,302816965;-0,304093557;-0,211662419;-0,204379565;-0,053845969;-0,111111182;-0,384855044;-0,23151281;-0,183823529;0,136363788;-0,072727284;-0,094096875;-0,056423473;0;-0,687079466;-0,103305601;-0,025689503;;-0,010563242;-0,078125057;;;-0,054545402;-0,358669834;;;;-0,007812543;;-0,20807449;-0,073170773;;;-0,135714411;-0,048865616;0,082758599;-0,128346612;-0,219591804;;;-0,232294762;0,023280503;-0,095499576;-0,058823578;;;;-0,058461535;;-0,346581951
2011-09-30 00:00:00;0,025615472;-0,075757516;-0,149614752;-0,09261322;-0,16470567;-0,189252412;-0,056639858;0,022786338;-0,127825619;-0,010101039;-0,105041967;-0,116776975;-0,264220207;-0,158536736;-0,024999839;0,021276486;0,042138338;-0,100900873;-0,108888866;0,107843073;-0,00709675;-0,072676999;-0,02439026;-0,197849575;0,046083005;0,033440603;;-0,014235054;-0,059322173;;;-0,110576802;-0,177777778;;;;-0,006299124;;-0,109803861;-0,026315729;;;0,001652846;-0,166972611;0,0159236;0,004516786;0,031380803;;;0,047970412;0,011030512;-0,087378721;-0,049999944;;;;-0,021708691;;-0,427412696
2011-10-31 00:00:00;-0,00562491;0,032786815;0,106408759;0,11421636;0,098591333;0,224783933;0,1643833;-0,051559579;-0,028077749;0,071428618;0,0399062;0,228082953;-0,002493787;0,135265665;-0,017093965;0,024305761;-0,050090443;0,022044057;0,119700383;-0,09734508;0,026640716;0,078372907;0,062499949;0,39142142;0,013844904;-0,022401954;;-0,104693117;0,06306322;;;0,037837621;-0,085585586;;;;-0,017432763;;0,118942701;0,005405322;;;-0,026402514;-0,071035179;0,001567395;0,034172806;0,069979773;;;-0,007042043;0,025571139;0,117021509;-0,052631517;;;;0,023622087;;-0,164306261
2011-11-30 00:00:00;0,090509248;-0,174603186;0,11010968;0,030534392;-0,076922864;-0,075294167;0,226533287;0,033556954;-0,133333358;0,428571147;0,038374667;0,030179844;-0,074999988;-0,110638395;0,043478034;-0,078934715;0,041931245;-0,009803922;-0,024498456;0;-0,072785093;-0,011039633;-0,099999941;0,104046032;0,100558971;0,077657306;;0,072580695;-0,008474525;;;-0,010416559;-0,285714286;;;;0,169354836;;-0,086614271;0,016129019;;;0,254237554;-0,117960836;-0,020344311;0,092173695;-0,064644462;;;0,030141805;0,060838065;-0,15238091;0,062499853;;;;0,068531434;;-0,448813499
2011-12-31 00:00:00;0,011527224;0,038461542;-0,003199731;0,003174438;0,131944341;0,078880453;-0,012653181;-0,052597475;0,37728936;-0,059999813;0;-0,049295772;0,03783784;-0,114832316;0,016666798;0,00315469;-0,140243949;0,128712871;-0,098173607;-0,127451029;-0,081910954;-0,04186052;0,11764717;-0,057591754;0;-0,024217053;;0,082706769;-0,010256549;;;-0,042105298;0,220689655;;;;0,068965633;;0,021551776;0,005291039;;;-0,040540619;-0,166666702;0,025558992;0,0509554;-0,066072098;;;0,106712677;-0,000313567;0,129213495;-0,071895345;;;;0,041884777;;0,150061577
2012-01-31 00:00:00;0,267806422;0,26851854;0,065678898;0,104430672;0,177913842;0,136792484;0,191608245;0,137765811;0,187500089;0;0,258695391;0,244444034;0,367187479;0,275675599;0,016393218;0,124213779;0,188652651;0,078947368;0,265822662;0,056179694;0,057992534;0,127184592;-0,058479478;0,379629656;-0,097574915;0,032799367;;0,112621979;0,13126089;;;0,153846288;-0,124293785;;;;0,122580473;;0,09704639;0,031578921;;;0,07464758;0,033870925;0,048286831;0,018182101;0,170789683;;;0,004665558;-0,032288554;0,083333398;-0,073239349;;;;-0,014447208;;0,072192845
2012-02-29 00:00:00;-0,032809115;0,043795623;0,01784068;0,074498426;0,187500502;0,089211584;0,065047713;0,210843272;-0,034714513;-0,276595863;0,051813548;0,05714314;0,019047601;0,038135649;-0,016128815;0,110955751;0,194510644;0,146341463;0,150000076;-0,042553085;0,152494761;0,119724498;0,024844547;-0,046308545;0,037500216;0,094159644;;-0,063291031;0,06259537;;;-0,009523924;-0,032258065;;;;0,056321916;;0,200000049;0,020408184;;;0,048492788;-0,104524133;0,010401168;0,164434545;0,057460578;;;0,054179567;-0,031421741;-0,005740708;-0,003039661;;;;0,100488625;;-0,102244611
2012-03-31 00:00:00;-0,02555742;0,020979082;0,04939697;-0,04266677;0,008771587;-0,156190468;-0,030130352;-0,059701384;0,07192581;0,058823474;0,008210446;-0,118018229;-0,123364477;-0,004081618;0,032786875;0,065883326;-0,118381455;0,184397163;-0,026086933;-0,019999998;0,012194715;-0,026923236;0,024242441;-0,091485132;-0,021084585;0,052287728;;0,010134863;0,007184076;;;0,043269214;-0,333333333;;;;0,115342708;;0,044871804;0,064999764;;;0,018750043;-0,013937441;0,226470606;-0,012779826;-0,063978793;;;0,139500524;0,052173702;0,012312265;-0,012195108;;;;0,003861019;;-0,125000025
2012-04-30 00:00:00;-0,010886982;-0,061643894;0,063511048;0,020427179;-0,01739103;-0,085778793;0,062839883;-0,034391623;-0,030303063;-0,046296219;-0,013029452;0,008682568;0,06609809;0,045081806;-0,023809623;0,095908067;-0,002832946;0,329341317;0,08928557;-0,092970545;-0,040361195;0,019769112;0,035503012;-0,008827972;-0,08242064;0,076604357;;-0,023411179;0,02630196;;;0,05529938;0,05;;;;0,014634165;;-0,022802024;0,021126952;;;0,066257738;-0,123498176;-0,016015294;0,091930957;0,003745354;;;0,032216698;-0,00349662;0,00576702;0,050192988;;;;0,020192293;;-0,346666684
2012-05-31 00:00:00;-0,020791953;-0,102189787;-0,075557423;-0,14735153;0,044248012;0,024691368;0,116666751;-0,128219135;-0,062499984;0,077669982;0,062793646;-0,181958758;-0,05;-0,019346374;-0,04065029;-0,235487403;-0,113636394;-0,243243243;-0,090310352;-0,025000005;0,003514895;-0,08828134;-0,057142921;0,027801077;0,092944403;-0,006730836;;-0,013698773;-0,001416372;;;0,004063314;-0,466666667;;;;-0,038461565;;-0,097087403;0,035785136;;;-0,033371562;-0,258617174;-0,057953242;-0,035585132;-0,019416975;;;0,037623511;0,02654983;-0,057339462;-0,049079767;;;;-0,004712535;;-0,01360542
