Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
12/31/20,"2.009,91",,"66,21","3,41","8.688,76","193,79",,"2.009,91","2.009,91"
01/29/21,"1.993,17",,"-16,73","-0,83","8.623,73","191,59",,"1.993,17","1.993,17"
02/26/21,"2.043,70",,"50,53","2,54","8.854,94","199,41",,"2.043,70","2.043,70"
03/31/21,"2.125,23",,"81,53","3,99","9.232,82","212,19",,"2.125,23","2.125,23"
04/30/21,"2.208,32",,"83,09","3,91","9.610,34","224,95",,"2.208,32","2.208,32"
05/31/21,"2.227,07",,"18,75","0,85","9.715,07","228,49",,"2.227,07","2.227,07"
06/30/21,"2.277,09",,"50,02","2,25","9.945,80","236,30",,"2.277,09","2.277,09"
07/30/21,"2.314,61",,"37,52","1,65","10.118,75","242,14",,"2.314,61","2.314,61"
08/31/21,"2.373,24",,"58,63","2,53","10.392,40","251,40",,"2.373,24","2.373,24"
09/30/21,"2.282,46",,"-90,78","-3,83","10.013,80","238,60",,"2.282,46","2.282,46"
10/29/21,"2.406,45",,"123,99","5,43","10.567,72","257,33",,"2.406,45","2.406,45"
11/30/21,"2.368,57",,"-37,88","-1,57","10.416,19","252,20",,"2.368,57","2.368,57"
12/31/21,"2.461,23",,"92,66","3,91","10.835,64","266,38",,"2.461,23","2.461,23"
01/31/22,"2.338,56",,"-122,67","-4,98","10.303,43","248,39",,"2.338,56","2.338,56"
02/28/22,"2.273,72",,"-64,84","-2,77","10.033,64","239,27",,"2.273,72","2.273,72"
03/31/22,"2.339,32",,"65,59","2,88","10.351,69","250,02",,"2.339,32","2.339,32"
04/29/22,"2.175,04",,"-164,28","-7,02","9.642,16","226,03",,"2.175,04","2.175,04"
05/31/22,"2.164,74",,"-10,30","-0,47","9.626,98","225,52",,"2.164,74","2.164,74"
06/30/22,"1.994,05",,"-170,69","-7,89","8.882,05","200,33",,"1.994,05","1.994,05"
07/29/22,"2.151,53",,"157,48","7,90","9.592,95","224,37",,"2.151,53","2.151,53"
08/31/22,"2.073,80",,"-77,73","-3,61","9.265,03","213,28",,"2.073,80","2.073,80"
09/30/22,"1.898,03",,"-175,77","-8,48","8.499,40","187,39",,"1.898,03","1.898,03"
10/31/22,"2.032,23",,"134,20","7,07","9.108,90","208,00",,"2.032,23","2.032,23"
11/30/22,"2.144,01",,"111,78","5,50","9.628,39","225,56",,"2.144,01","2.144,01"
12/30/22,"2.033,03",,"-110,98","-5,18","9.142,92","209,15",,"2.033,03","2.033,03"
01/31/23,"2.163,79",,"130,76","6,43","9.739,89","229,33",,"2.163,79","2.163,79"
02/28/23,"2.127,12",,"-36,67","-1,69","9.590,92","224,30",,"2.127,12","2.127,12"
03/31/23,"2.174,50",,"47,38","2,23","9.836,12","232,59",,"2.174,50","2.174,50"
04/28/23,"2.205,90",,"31,40","1,44","9.998,80","238,09",,"2.205,90","2.205,90"
05/31/23,"2.195,59",,"-10,31","-0,47","9.984,88","237,62",,"2.195,59","2.195,59"
06/30/23,"2.317,93",,"122,34","5,57","10.556,40","256,94",,"2.317,93","2.317,93"
07/31/23,"2.383,88",,"65,95","2,85","10.866,79","267,44",,"2.383,88","2.383,88"
08/31/23,"2.338,05",,"-45,83","-1,92","10.680,52","261,14",,"2.338,05","2.338,05"
09/29/23,"2.248,53",,"-89,52","-3,83","10.289,64","247,92",,"2.248,53","2.248,53"
10/31/23,"2.188,03",,"-60,50","-2,69","10.021,84","238,87",,"2.188,03","2.188,03"
11/30/23,"2.366,01",,"177,97","8,13","10.858,43","267,15",,"2.366,01","2.366,01"
12/29/23,"2.462,22",,"96,21","4,07","11.314,06","282,56",,"2.462,22","2.462,22"
01/31/24,"2.504,74",,"42,52","1,73","11.518,86","289,49",,"2.504,74","2.504,74"
02/29/24,"2.617,03",,"112,29","4,48","12.054,22","307,59",,"2.617,03","2.617,03"
03/29/24,"2.700,53",,"83,51","3,19","12.469,90","321,64",,"2.700,53","2.700,53"
04/30/24,"2.609,32",,"-91,21","-3,38","12.071,79","308,18",,"2.609,32","2.609,32"
05/31/24,"2.709,37",,"100,05","3,83","12.570,79","325,05",,"2.709,37","2.709,37"
06/28/24,"2.769,51",,"60,14","2,22","12.866,76","335,06",,"2.769,51","2.769,51"
07/31/24,"2.802,38",,"32,87","1,19","13.030,02","340,58",,"2.802,38","2.802,38"
08/30/24,"2.850,99",,"48,61","1,73","13.277,61","348,95",,"2.850,99","2.850,99"
09/30/24,"2.889,80",,"38,81","1,36","13.482,24","355,87",,"2.889,80","2.889,80"
10/31/24,"2.861,66",,"-28,14","-0,97","13.361,47","351,79",,"2.861,66","2.861,66"
11/29/24,"2.997,91",,"136,24","4,76","14.018,35","374,00",,"2.997,91","2.997,91"
12/31/24,"2.938,11",,"-59,80","-1,99","13.754,35","365,07",,"2.938,11","2.938,11"
01/31/25,"3.038,03",,"99,91","3,40","14.232,96","381,26",,"3.038,03","3.038,03"
02/28/25,"3.006,10",,"-31,92","-1,05","14.101,02","376,80",,"3.006,10","3.006,10"
03/31/25,"2.849,59",,"-156,51","-5,21","13.401,39","353,14",,"2.849,59","2.849,59"
04/30/25,"2.834,75",,"-14,84","-0,52","13.357,33","351,65",,"2.834,75","2.834,75"
05/30/25,"2.996,27",,"161,52","5,70","14.158,30","378,73",,"2.996,27","2.996,27"
06/30/25,"3.106,47",,"110,20","3,68","14.697,42","396,96",,"3.106,47","3.106,47"
07/31/25,"3.167,69",,"61,22","1,97","14.998,32","407,14",,"3.167,69","3.167,69"
08/29/25,"3.229,39",,"61,71","1,95","15.311,86","417,74",,"3.229,39","3.229,39"
09/30/25,"3.329,67",,"100,28","3,11","15.812,47","434,67",,"3.329,67","3.329,67"
10/31/25,"3.413,26",,"83,59","2,51","16.221,97","448,51",,"3.413,26","3.413,26"
11/28/25,"3.418,34",,"5,08","0,15","16.267,19","450,04",,"3.418,34","3.418,34"
12/31/25,"3.433,77",,"15,43","0,45","16.358,79","453,14",,"3.433,77","3.433,77"
01/30/26,"3.490,72",,"56,94","1,66","16.640,58","462,67",,"3.490,72","3.490,72"
02/13/26,"3.478,16",,"-12,55","-0,36","16.588,66","460,91",,"3.478,16","3.478,16"
