Price History: 990100,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
12/01/15,"1.318,25",,"10,93","0,84","5.036,85","70,31",,"1.318,25","1.318,25"
12/02/15,"1.309,23",,"-9,02","-0,68","5.003,11","69,17",,"1.309,23","1.309,23"
12/03/15,"1.289,08",,"-20,15","-1,54","4.926,25","66,57",,"1.289,08","1.289,08"
12/04/15,"1.300,06",,"10,99","0,85","4.968,26","67,99",,"1.300,06","1.300,06"
12/07/15,"1.295,66",,"-4,40","-0,34","4.951,72","67,43",,"1.295,66","1.295,66"
12/08/15,"1.283,62",,"-12,04","-0,93","4.905,99","65,89",,"1.283,62","1.283,62"
12/09/15,"1.274,98",,"-8,64","-0,67","4.873,25","64,78",,"1.274,98","1.274,98"
12/10/15,"1.274,43",,"-0,56","-0,04","4.871,53","64,72",,"1.274,43","1.274,43"
12/11/15,"1.253,31",,"-21,12","-1,66","4.791,34","62,01",,"1.253,31","1.253,31"
12/14/15,"1.248,82",,"-4,49","-0,36","4.774,37","61,44",,"1.248,82","1.248,82"
12/15/15,"1.263,50",,"14,69","1,18","4.830,58","63,34",,"1.263,50","1.263,50"
12/16/15,"1.280,45",,"16,95","1,34","4.895,64","65,54",,"1.280,45","1.280,45"
12/17/15,"1.274,44",,"-6,01","-0,47","4.873,16","64,78",,"1.274,44","1.274,44"
12/18/15,"1.256,15",,"-18,30","-1,44","4.803,26","62,41",,"1.256,15","1.256,15"
12/21/15,"1.258,72",,"2,57","0,20","4.813,72","62,77",,"1.258,72","1.258,72"
12/22/15,"1.266,19",,"7,47","0,59","4.842,57","63,74",,"1.266,19","1.266,19"
12/23/15,"1.283,72",,"17,53","1,38","4.909,88","66,02",,"1.283,72","1.283,72"
12/24/15,"1.282,72",,"-1,00","-0,08","4.906,19","65,89",,"1.282,72","1.282,72"
12/25/15,"1.282,19",,"-0,54","-0,04","4.904,15","65,82",,"1.282,19","1.282,19"
12/28/15,"1.280,21",,"-1,98","-0,15","4.897,16","65,59",,"1.280,21","1.280,21"
12/29/15,"1.293,75",,"13,53","1,06","4.949,92","67,37",,"1.293,75","1.293,75"
12/30/15,"1.286,51",,"-7,24","-0,56","4.922,55","66,45",,"1.286,51","1.286,51"
12/31/15,"1.277,72",,"-8,79","-0,68","4.889,03","65,31",,"1.277,72","1.277,72"
01/01/16,"1.277,72",,,,"4.889,03","65,31",,"1.277,72","1.277,72"
01/04/16,"1.254,42",,"-23,30","-1,82","4.800,54","62,32",,"1.254,42","1.254,42"
01/05/16,"1.256,29",,"1,87","0,15","4.807,71","62,56",,"1.256,29","1.256,29"
01/06/16,"1.240,41",,"-15,88","-1,26","4.748,00","60,54",,"1.240,41","1.240,41"
01/07/16,"1.212,68",,"-27,72","-2,24","4.642,02","56,96",,"1.212,68","1.212,68"
01/08/16,"1.200,17",,"-12,51","-1,03","4.594,17","55,34",,"1.200,17","1.200,17"
01/11/16,"1.197,93",,"-2,24","-0,19","4.585,59","55,05",,"1.197,93","1.197,93"
01/12/16,"1.203,37",,"5,43","0,45","4.606,53","55,76",,"1.203,37","1.203,37"
01/13/16,"1.189,55",,"-13,81","-1,15","4.553,96","53,98",,"1.189,55","1.189,55"
01/14/16,"1.193,98",,"4,42","0,37","4.570,97","54,56",,"1.193,98","1.193,98"
01/15/16,"1.170,58",,"-23,39","-1,96","4.481,52","51,53",,"1.170,58","1.170,58"
01/18/16,"1.167,38",,"-3,21","-0,27","4.469,28","51,12",,"1.167,38","1.167,38"
01/19/16,"1.172,82",,"5,44","0,47","4.490,14","51,82",,"1.172,82","1.172,82"
01/20/16,"1.149,81",,"-23,02","-1,96","4.402,43","48,86",,"1.149,81","1.149,81"
01/21/16,"1.155,84",,"6,03","0,52","4.425,76","49,65",,"1.155,84","1.155,84"
01/22/16,"1.184,80",,"28,96","2,51","4.536,76","53,40",,"1.184,80","1.184,80"
01/25/16,"1.173,66",,"-11,14","-0,94","4.494,13","51,96",,"1.173,66","1.173,66"
01/26/16,"1.183,80",,"10,14","0,86","4.532,98","53,27",,"1.183,80","1.183,80"
01/27/16,"1.180,55",,"-3,25","-0,27","4.521,37","52,88",,"1.180,55","1.180,55"
01/28/16,"1.179,37",,"-1,18","-0,10","4.517,19","52,74",,"1.179,37","1.179,37"
01/29/16,"1.207,65",,"28,28","2,40","4.625,56","56,40",,"1.207,65","1.207,65"
02/01/16,"1.208,23",,"0,58","0,05","4.628,18","56,49",,"1.208,23","1.208,23"
02/02/16,"1.186,69",,"-21,53","-1,78","4.545,81","53,71",,"1.186,69","1.186,69"
02/03/16,"1.181,35",,"-5,34","-0,45","4.526,22","53,04",,"1.181,35","1.181,35"
02/04/16,"1.183,51",,"2,16","0,18","4.535,33","53,35",,"1.183,51","1.183,51"
02/05/16,"1.166,23",,"-17,28","-1,46","4.469,25","51,12",,"1.166,23","1.166,23"
02/08/16,"1.146,43",,"-19,81","-1,70","4.393,63","48,56",,"1.146,43","1.146,43"
02/09/16,"1.133,99",,"-12,44","-1,08","4.346,50","46,97",,"1.133,99","1.133,99"
02/10/16,"1.134,78",,"0,79","0,07","4.350,41","47,10",,"1.134,78","1.134,78"
02/11/16,"1.116,96",,"-17,82","-1,57","4.283,05","44,82",,"1.116,96","1.116,96"
02/12/16,"1.132,21",,"15,25","1,37","4.341,82","46,81",,"1.132,21","1.132,21"
02/15/16,"1.148,57",,"16,36","1,44","4.404,55","48,93",,"1.148,57","1.148,57"
02/16/16,"1.161,41",,"12,83","1,12","4.454,95","50,63",,"1.161,41","1.161,41"
02/17/16,"1.179,86",,"18,46","1,59","4.526,13","53,04",,"1.179,86","1.179,86"
02/18/16,"1.178,84",,"-1,02","-0,09","4.523,80","52,96",,"1.178,84","1.178,84"
02/19/16,"1.175,04",,"-3,80","-0,32","4.509,65","52,48",,"1.175,04","1.175,04"
02/22/16,"1.191,51",,"16,47","1,40","4.572,98","54,63",,"1.191,51","1.191,51"
02/23/16,"1.177,77",,"-13,74","-1,15","4.520,52","52,85",,"1.177,77","1.177,77"
02/24/16,"1.173,41",,"-4,36","-0,37","4.504,03","52,29",,"1.173,41","1.173,41"
02/25/16,"1.188,71",,"15,30","1,30","4.564,87","54,35",,"1.188,71","1.188,71"
02/26/16,"1.192,66",,"3,95","0,33","4.580,40","54,88",,"1.192,66","1.192,66"
02/29/16,"1.186,54",,"-6,12","-0,51","4.557,42","54,10",,"1.186,54","1.186,54"
03/01/16,"1.208,71",,"22,17","1,87","4.642,76","56,99",,"1.208,71","1.208,71"
03/02/16,"1.217,97",,"9,26","0,77","4.678,99","58,21",,"1.217,97","1.217,97"
03/03/16,"1.222,26",,"4,29","0,35","4.697,35","58,83",,"1.222,26","1.222,26"
03/04/16,"1.228,16",,"5,90","0,48","4.720,15","59,60",,"1.228,16","1.228,16"
03/07/16,"1.227,73",,"-0,43","-0,04","4.718,78","59,56",,"1.227,73","1.227,73"
03/08/16,"1.215,31",,"-12,42","-1,01","4.671,68","57,96",,"1.215,31","1.215,31"
03/09/16,"1.219,31",,"4,01","0,33","4.687,62","58,50",,"1.219,31","1.219,31"
03/10/16,"1.216,34",,"-2,98","-0,24","4.676,88","58,14",,"1.216,34","1.216,34"
03/11/16,"1.236,80",,"20,47","1,68","4.756,46","60,83",,"1.236,80","1.236,80"
03/14/16,"1.239,47",,"2,67","0,22","4.766,91","61,18",,"1.239,47","1.239,47"
03/15/16,"1.233,81",,"-5,66","-0,46","4.745,23","60,45",,"1.233,81","1.233,81"
03/16/16,"1.237,54",,"3,73","0,30","4.759,92","60,95",,"1.237,54","1.237,54"
03/17/16,"1.242,46",,"4,92","0,40","4.779,57","61,61",,"1.242,46","1.242,46"
03/18/16,"1.244,82",,"2,36","0,19","4.789,18","61,94",,"1.244,82","1.244,82"
03/21/16,"1.245,13",,"0,31","0,03","4.791,01","62,00",,"1.245,13","1.245,13"
03/22/16,"1.246,82",,"1,69","0,14","4.797,95","62,23",,"1.246,82","1.246,82"
03/23/16,"1.240,79",,"-6,02","-0,48","4.775,18","61,46",,"1.240,79","1.240,79"
03/24/16,"1.234,33",,"-6,46","-0,52","4.750,65","60,63",,"1.234,33","1.234,33"
03/25/16,"1.235,47",,"1,14","0,09","4.755,04","60,78",,"1.235,47","1.235,47"
03/28/16,"1.237,01",,"1,53","0,12","4.760,95","60,98",,"1.237,01","1.237,01"
03/29/16,"1.243,70",,"6,69","0,54","4.791,44","62,01",,"1.243,70","1.243,70"
03/30/16,"1.249,97",,"6,27","0,50","4.815,90","62,84",,"1.249,97","1.249,97"
03/31/16,"1.245,96",,"-4,01","-0,32","4.800,68","62,32",,"1.245,96","1.245,96"
04/01/16,"1.242,79",,"-3,17","-0,25","4.789,15","61,93",,"1.242,79","1.242,79"
04/04/16,"1.240,95",,"-1,83","-0,15","4.782,72","61,72",,"1.240,95","1.240,95"
04/05/16,"1.225,22",,"-15,73","-1,27","4.722,09","59,67",,"1.225,22","1.225,22"
04/06/16,"1.236,09",,"10,87","0,89","4.765,31","61,13",,"1.236,09","1.236,09"
04/07/16,"1.225,20",,"-10,89","-0,88","4.724,76","59,76",,"1.225,20","1.225,20"
04/08/16,"1.232,27",,"7,07","0,58","4.752,31","60,69",,"1.232,27","1.232,27"
04/11/16,"1.229,66",,"-2,60","-0,21","4.743,40","60,39",,"1.229,66","1.229,66"
04/12/16,"1.240,62",,"10,96","0,89","4.785,84","61,82",,"1.240,62","1.240,62"
04/13/16,"1.259,32",,"18,70","1,51","4.858,63","64,28",,"1.259,32","1.259,32"
04/14/16,"1.264,40",,"5,08","0,40","4.878,96","64,97",,"1.264,40","1.264,40"
04/15/16,"1.262,20",,"-2,20","-0,17","4.870,69","64,69",,"1.262,20","1.262,20"
04/18/16,"1.264,32",,"2,11","0,17","4.879,02","64,97",,"1.264,32","1.264,32"
04/19/16,"1.275,41",,"11,09","0,88","4.921,97","66,43",,"1.275,41","1.275,41"
04/20/16,"1.277,88",,"2,47","0,19","4.931,68","66,75",,"1.277,88","1.277,88"
04/21/16,"1.276,40",,"-1,48","-0,12","4.926,57","66,58",,"1.276,40","1.276,40"
04/22/16,"1.275,67",,"-0,73","-0,06","4.924,10","66,50",,"1.275,67","1.275,67"
04/25/16,"1.271,44",,"-4,23","-0,33","4.908,02","65,95",,"1.271,44","1.271,44"
04/26/16,"1.272,53",,"1,09","0,09","4.912,98","66,12",,"1.272,53","1.272,53"
04/27/16,"1.273,92",,"1,39","0,11","4.919,11","66,33",,"1.273,92","1.273,92"
04/28/16,"1.263,71",,"-10,21","-0,80","4.881,32","65,05",,"1.263,71","1.263,71"
04/29/16,"1.254,11",,"-9,60","-0,76","4.844,94","63,82",,"1.254,11","1.254,11"
05/02/16,"1.256,19",,"2,08","0,17","4.853,97","64,13",,"1.256,19","1.256,19"
05/03/16,"1.244,99",,"-11,19","-0,89","4.811,10","62,68",,"1.244,99","1.244,99"
05/04/16,"1.236,49",,"-8,50","-0,68","4.779,26","61,60",,"1.236,49","1.236,49"
05/05/16,"1.236,48",,"-0,01","0,00","4.781,40","61,67",,"1.236,48","1.236,48"
05/06/16,"1.238,28",,"1,80","0,15","4.789,21","61,94",,"1.238,28","1.238,28"
05/09/16,"1.240,67",,"2,39","0,19","4.798,88","62,26",,"1.240,67","1.240,67"
05/10/16,"1.255,41",,"14,74","1,19","4.856,72","64,22",,"1.255,41","1.255,41"
05/11/16,"1.247,18",,"-8,23","-0,66","4.826,58","63,20",,"1.247,18","1.247,18"
05/12/16,"1.244,81",,"-2,37","-0,19","4.819,30","62,95",,"1.244,81","1.244,81"
05/13/16,"1.238,27",,"-6,54","-0,53","4.794,93","62,13",,"1.238,27","1.238,27"
05/16/16,"1.246,45",,"8,18","0,66","4.827,46","63,23",,"1.246,45","1.246,45"
05/17/16,"1.240,72",,"-5,74","-0,46","4.806,91","62,54",,"1.240,72","1.240,72"
05/18/16,"1.241,64",,"0,92","0,07","4.811,14","62,68",,"1.241,64","1.241,64"
05/19/16,"1.234,45",,"-7,18","-0,58","4.784,72","61,78",,"1.234,45","1.234,45"
05/20/16,"1.244,54",,"10,08","0,82","4.824,35","63,13",,"1.244,54","1.244,54"
05/23/16,"1.240,99",,"-3,54","-0,28","4.811,89","62,70",,"1.240,99","1.240,99"
05/24/16,"1.255,09",,"14,09","1,14","4.866,77","64,56",,"1.255,09","1.255,09"
05/25/16,"1.265,85",,"10,76","0,86","4.908,99","65,99",,"1.265,85","1.265,85"
05/26/16,"1.266,81",,"0,96","0,08","4.913,49","66,14",,"1.266,81","1.266,81"
