Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
09/30/21,"489,51",,"-28,81","-5,56","620,17","650,08",,"489,51","489,51"
08/31/21,"518,33",,"19,28","3,86","656,27","693,74",,"518,33","518,33"
07/30/21,"499,05",,"16,90","3,51","631,25","663,49",,"499,05","499,05"
06/30/21,"482,15",,"32,38","7,20","609,65","637,36",,"482,15","482,15"
05/31/21,"449,77",,"-5,89","-1,29","568,47","587,55",,"449,77","449,77"
04/30/21,"455,66",,"22,36","5,16","575,06","595,52",,"455,66","455,66"
03/31/21,"433,30",,"4,63","1,08","546,63","561,13",,"433,30","433,30"
02/26/21,"428,66",,"5,06","1,19","540,40","553,61",,"428,66","428,66"
01/29/21,"423,60",,"-1,94","-0,46","533,44","545,18",,"423,60","423,60"
12/31/20,"425,55",,"21,86","5,42","535,67","547,88",,"425,55","425,55"
11/30/20,"403,68",,"43,87","12,19","507,87","514,26",,"403,68","403,68"
10/30/20,"359,82",,"-19,70","-5,19","452,11","446,82",,"359,82","359,82"
09/30/20,"379,52",,"-17,44","-4,39","476,64","476,49",,"379,52","379,52"
08/31/20,"396,95",,"37,35","10,39","498,17","502,53",,"396,95","396,95"
07/31/20,"359,60",,"18,05","5,29","450,72","445,13",,"359,60","359,60"
06/30/20,"341,55",,"22,62","7,09","427,90","417,54",,"341,55","341,55"
05/29/20,"318,93",,"22,12","7,45","399,31","382,96",,"318,93","318,93"
04/30/20,"296,80",,"35,11","13,42","370,87","348,55",,"296,80","296,80"
03/31/20,"261,69",,"-26,77","-9,28","326,79","295,25",,"261,69","261,69"
02/28/20,"288,46",,"-23,12","-7,42","359,83","335,21",,"288,46","288,46"
01/31/20,"311,59",,"10,33","3,43","388,07","369,36",,"311,59","311,59"
12/31/19,"301,26",,"11,26","3,88","374,99","353,54",,"301,26","301,26"
11/29/19,"290,00",,"14,80","5,38","360,71","336,27",,"290,00","290,00"
10/31/19,"275,21",,"9,68","3,64","341,70","313,28",,"275,21","275,21"
09/30/19,"265,53",,"4,38","1,68","329,48","298,49",,"265,53","265,53"
08/30/19,"261,15",,"-6,20","-2,32","323,72","291,53",,"261,15","261,15"
07/31/19,"267,35",,"7,92","3,05","330,80","300,10",,"267,35","267,35"
06/28/19,"259,42",,"19,96","8,33","320,79","287,99",,"259,42","259,42"
05/31/19,"239,47",,"-22,72","-8,66","295,88","257,86",,"239,47","239,47"
04/30/19,"262,18",,"15,81","6,42","323,16","290,86",,"262,18","262,18"
03/29/19,"246,37",,"10,11","4,28","303,45","267,01",,"246,37","246,37"
02/28/19,"236,26",,"14,38","6,48","290,66","251,55",,"236,26","236,26"
01/31/19,"221,89",,"15,54","7,53","272,38","229,44",,"221,89","221,89"
12/31/18,"206,34",,"-18,78","-8,34","253,12","206,15",,"206,34","206,34"
11/30/18,"225,12",,"-4,67","-2,03","275,90","233,69",,"225,12","225,12"
10/31/18,"229,80",,"-21,66","-8,61","281,15","240,05",,"229,80","229,80"
09/28/18,"251,45",,"-0,85","-0,33","307,46","271,87",,"251,45","251,45"
08/31/18,"252,30",,"15,12","6,37","308,26","272,83",,"252,30","252,30"
07/31/18,"237,18",,"4,53","1,95","289,33","249,93",,"237,18","237,18"
06/29/18,"232,65",,"-0,91","-0,39","283,67","243,09",,"232,65","232,65"
05/31/18,"233,56",,"13,84","6,30","284,61","244,23",,"233,56","233,56"
