Price History: 106803,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
12/11/07,"95,39",,"-1,35","-1,39","99,98","18,82",,"95,39","95,39"
12/12/07,"96,02",,"0,64","0,67","100,66","19,62",,"96,02","96,02"
12/13/07,"95,66",,"-0,36","-0,38","100,28","19,17",,"95,66","95,66"
12/14/07,"94,89",,"-0,77","-0,80","99,48","18,22",,"94,89","94,89"
12/17/07,"92,77",,"-2,13","-2,24","97,25","15,57",,"92,77","92,77"
12/18/07,"92,84",,"0,07","0,07","97,32","15,65",,"92,84","92,84"
12/19/07,"93,00",,"0,17","0,18","97,50","15,86",,"93,00","93,00"
12/20/07,"94,23",,"1,22","1,31","98,78","17,39",,"94,23","94,23"
12/21/07,"95,92",,"1,69","1,80","100,55","19,49",,"95,92","95,92"
12/24/07,"96,52",,"0,60","0,63","101,18","20,24",,"96,52","96,52"
12/25/07,"96,71",,"0,19","0,20","101,39","20,50",,"96,71","96,71"
12/26/07,"96,97",,"0,27","0,28","101,67","20,83",,"96,97","96,97"
12/27/07,"95,70",,"-1,27","-1,31","100,34","19,25",,"95,70","95,70"
12/28/07,"95,50",,"-0,21","-0,21","100,13","18,99",,"95,50","95,50"
12/31/07,"94,70",,"-0,80","-0,84","99,29","18,00",,"94,70","94,70"
01/01/08,"94,70",,,,"99,29","18,00",,"94,70","94,70"
01/02/08,"93,03",,"-1,67","-1,77","97,54","15,91",,"93,03","93,03"
01/03/08,"92,82",,"-0,21","-0,22","97,32","15,65",,"92,82","92,82"
01/04/08,"88,77",,"-4,05","-4,36","93,07","10,61",,"88,77","88,77"
01/07/08,"87,64",,"-1,12","-1,26","91,89","9,21",,"87,64","87,64"
01/08/08,"85,84",,"-1,80","-2,05","90,01","6,97",,"85,84","85,84"
01/09/08,"86,96",,"1,12","1,30","91,18","8,36",,"86,96","86,96"
01/10/08,"87,04",,"0,08","0,09","91,26","8,46",,"87,04","87,04"
01/11/08,"85,42",,"-1,62","-1,86","89,56","6,44",,"85,42","85,42"
01/14/08,"87,26",,"1,84","2,15","91,49","8,73",,"87,26","87,26"
01/15/08,"85,25",,"-2,00","-2,29","89,39","6,23",,"85,25","85,25"
01/16/08,"83,37",,"-1,88","-2,21","87,42","3,89",,"83,37","83,37"
01/17/08,"82,59",,"-0,78","-0,93","86,60","2,91",,"82,59","82,59"
01/18/08,"82,84",,"0,25","0,30","86,86","3,22",,"82,84","82,84"
01/21/08,"81,80",,"-1,03","-1,25","85,77","1,93",,"81,80","81,80"
01/22/08,"79,75",,"-2,06","-2,52","83,62","-0,63",,"79,75","79,75"
01/23/08,"79,74",,"-0,01","-0,01","83,61","-0,64",,"79,74","79,74"
01/24/08,"82,44",,"2,70","3,38","86,44","2,72",,"82,44","82,44"
01/25/08,"81,95",,"-0,48","-0,59","85,93","2,12",,"81,95","81,95"
01/28/08,"81,36",,"-0,59","-0,72","85,31","1,38",,"81,36","81,36"
01/29/08,"81,71",,"0,35","0,43","85,68","1,83",,"81,71","81,71"
01/30/08,"81,69",,"-0,02","-0,03","85,66","1,80",,"81,69","81,69"
01/31/08,"82,85",,"1,16","1,42","86,88","3,25",,"82,85","82,85"
02/01/08,"83,55",,"0,70","0,85","87,62","4,13",,"83,55","83,55"
02/04/08,"82,72",,"-0,83","-0,99","86,75","3,10",,"82,72","82,72"
02/05/08,"80,35",,"-2,37","-2,87","84,29","0,17",,"80,35","80,35"
02/06/08,"79,02",,"-1,33","-1,65","82,92","-1,46",,"79,02","79,02"
02/07/08,"78,69",,"-0,33","-0,42","82,57","-1,88",,"78,69","78,69"
02/08/08,"79,58",,"0,90","1,14","83,51","-0,76",,"79,58","79,58"
02/11/08,"80,35",,"0,76","0,96","84,31","0,19",,"80,35","80,35"
02/12/08,"80,57",,"0,23","0,28","84,54","0,47",,"80,57","80,57"
02/13/08,"82,15",,"1,58","1,96","86,20","2,44",,"82,15","82,15"
02/14/08,"81,38",,"-0,76","-0,93","85,40","1,49",,"81,38","81,38"
02/15/08,"80,85",,"-0,54","-0,66","84,84","0,82",,"80,85","80,85"
02/18/08,"81,06",,"0,21","0,26","85,06","1,09",,"81,06","81,06"
02/19/08,"80,55",,"-0,51","-0,63","84,56","0,49",,"80,55","80,55"
